NAME         REFERENCE               TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 66%/50%   1         10        1          147m
php-apache   Deployment/php-apache   cpu: 243%/50%   1         10        2          147m
php-apache   Deployment/php-apache   cpu: 243%/50%   1         10        2          147m
php-apache   Deployment/php-apache   cpu: 243%/50%   1         10        2          147m
php-apache   Deployment/php-apache   cpu: 243%/50%   1         10        2          147m
php-apache   Deployment/php-apache   cpu: 132%/50%   1         10        4          147m
php-apache   Deployment/php-apache   cpu: 132%/50%   1         10        4          147m
php-apache   Deployment/php-apache   cpu: 132%/50%   1         10        4          148m
php-apache   Deployment/php-apache   cpu: 132%/50%   1         10        4          148m
php-apache   Deployment/php-apache   cpu: 132%/50%   1         10        4          148m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 68%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 68%/50%   1         10        6          148m
php-apache   Deployment/php-apache   cpu: 68%/50%   1         10        6          149m
php-apache   Deployment/php-apache   cpu: 68%/50%   1         10        6          149m
php-apache   Deployment/php-apache   cpu: 68%/50%   1         10        6          149m
php-apache   Deployment/php-apache   cpu: 55%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 55%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 55%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 55%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 67%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 58%/50%   1         10        7          149m
php-apache   Deployment/php-apache   cpu: 58%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 58%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 58%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 61%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          150m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 63%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 62%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 59%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 59%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 59%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 59%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 56%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 56%/50%   1         10        7          151m
php-apache   Deployment/php-apache   cpu: 56%/50%   1         10        7          152m
php-apache   Deployment/php-apache   cpu: 56%/50%   1         10        7          152m
php-apache   Deployment/php-apache   cpu: 56%/50%   1         10        7          152m
