NAME         REFERENCE               TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          92m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          92m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          92m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          92m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          92m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          92m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 216%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 216%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 216%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 216%/50%   1         10        1          93m
php-apache   Deployment/php-apache   cpu: 227%/50%   1         10        4          93m
php-apache   Deployment/php-apache   cpu: 227%/50%   1         10        4          93m
php-apache   Deployment/php-apache   cpu: 227%/50%   1         10        4          93m
php-apache   Deployment/php-apache   cpu: 227%/50%   1         10        4          93m
php-apache   Deployment/php-apache   cpu: 227%/50%   1         10        4          93m
php-apache   Deployment/php-apache   cpu: 126%/50%   1         10        5          93m
php-apache   Deployment/php-apache   cpu: 126%/50%   1         10        5          93m
php-apache   Deployment/php-apache   cpu: 126%/50%   1         10        5          93m
php-apache   Deployment/php-apache   cpu: 126%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 126%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 130%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 130%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 130%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 130%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 109%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 109%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 109%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 109%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 109%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          94m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 110%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 111%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          95m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          96m
php-apache   Deployment/php-apache   cpu: 116%/50%   1         10        5          96m
