NAME         REFERENCE               TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 0%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 144%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 144%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 144%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 144%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 144%/50%   1         10        1          127m
php-apache   Deployment/php-apache   cpu: 209%/50%   1         10        3          127m
php-apache   Deployment/php-apache   cpu: 209%/50%   1         10        3          127m
php-apache   Deployment/php-apache   cpu: 209%/50%   1         10        3          128m
php-apache   Deployment/php-apache   cpu: 209%/50%   1         10        3          128m
php-apache   Deployment/php-apache   cpu: 209%/50%   1         10        3          128m
php-apache   Deployment/php-apache   cpu: 53%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 53%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 53%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 53%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 44%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 44%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 44%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 44%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 44%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          128m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          129m
php-apache   Deployment/php-apache   cpu: 43%/50%   1         10        5          129m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        5          129m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        5          129m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        5          129m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        5          129m
php-apache   Deployment/php-apache   cpu: 38%/50%   1         10        5          129m
